NVIC0002#15#ZINC85436520<br>0.869;ZINC67886583<br>0.867;ZINC95432637<br>0.866;ZINC40789841<br>0.862;ZINC39430558<br>0.861
NVIC0021#3#ZINC04217381<br>0.920;ZINC05085276<br>0.913;ZINC05085274<br>0.900
NVIC0023#6#ZINC17027347<br>0.960;ZINC96332106<br>0.884;ZINC12652408<br>0.882;ZINC03983963<br>0.879;ZINC08384271<br>0.860
NVIC0024#400#ZINC82814300<br>0.942;ZINC43753747<br>0.937;ZINC05509637<br>0.937;ZINC89878843<br>0.936;ZINC89878842<br>0.936
NVIC0025#6#ZINC82427759<br>0.892;ZINC05418172<br>0.866;ZINC82430163<br>0.862;ZINC82436082<br>0.858;ZINC82423553<br>0.853
NVIC0026#33#ZINC05503556<br>0.906;ZINC15974316<br>0.871;ZINC05342437<br>0.871;ZINC03034038<br>0.871;ZINC06702178<br>0.868
NVIC0027#400#ZINC05314371<br>0.924;ZINC72424909<br>0.916;ZINC72424908<br>0.916;ZINC93371553<br>0.915;ZINC95435766<br>0.914
NVIC0028#400#ZINC43841011<br>0.937;ZINC71893685<br>0.935;ZINC91636080<br>0.934;ZINC24084961<br>0.930;ZINC83670587<br>0.928
NVIC0029#400#ZINC72131922<br>0.903;ZINC71285849<br>0.899;ZINC71285847<br>0.893;ZINC12396327<br>0.893;ZINC00194999<br>0.887
NVIC0032#356#ZINC25970075<br>0.945;ZINC58264426<br>0.944;ZINC68775269<br>0.937;ZINC95414630<br>0.930;ZINC31373348<br>0.930
NVIC0048#400#ZINC77432387<br>0.933;ZINC82768005<br>0.928;ZINC01780063<br>0.927;ZINC01621250<br>0.926;ZINC00006792<br>0.924
